jaar;watertype;seizoen;bedrijfstype;hoofdgrondsoortregio;jaartot_gem;std;component;symbool;eenheid;p10;p25;p50;p75;p90;perc_dg;aantal_bedrijven;volgnummer_c;volgnummer_h;mark_ab;component_naam;mark_dg;dg;aantal_bedrijfstype;in_tabel;in_trendgrafiek;in_jaargrafiek;versie;meetnet
2017;uitspoelingswater;zomer;dierbedrijf;zand;54;62;Nitraat;(NO3);mg/l;3.5;11;39;70;111;4.5;22;5;15;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2018;uitspoelingswater;zomer;dierbedrijf;zand;55;46;Nitraat;(NO3);mg/l;9;15;48;74;117;3.3;30;5;15;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2019;uitspoelingswater;zomer;dierbedrijf;zand;69;50;Nitraat;(NO3);mg/l;1.4;30;64;101;128;3.1;32;5;15;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2020;uitspoelingswater;zomer;dierbedrijf;zand;103;61;Nitraat;(NO3);mg/l;21;60;108;135;155;3.1;32;5;15;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2021;uitspoelingswater;zomer;dierbedrijf;zand;84;48;Nitraat;(NO3);mg/l;28;52;93;111;143;3;33;5;15;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2022;uitspoelingswater;zomer;dierbedrijf;zand;66;50;Nitraat;(NO3);mg/l;5.7;18;71;105;123;6.2;32;5;15;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2023;uitspoelingswater;zomer;dierbedrijf;zand;74;53;Nitraat;(NO3);mg/l;4.5;44;72;108;126;0;36;5;15;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2024;uitspoelingswater;zomer;dierbedrijf;zand;42;30;Nitraat;(NO3);mg/l;3.7;17;46;58;85;2.6;38;5;15;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
1992;uitspoelingswater;zomer;melkvee;zand;196;87;Nitraat;(NO3);mg/l;92;139;181;264;309;0;67;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
1993;uitspoelingswater;zomer;melkvee;zand;190;78;Nitraat;(NO3);mg/l;106;135;181;254;287;0;65;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
1994;uitspoelingswater;zomer;melkvee;zand;113;69;Nitraat;(NO3);mg/l;36;59;106;135;245;0;32;5;10;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;basismeetnet
1995;uitspoelingswater;zomer;melkvee;zand;92;53;Nitraat;(NO3);mg/l;35;46;82;125;166;0;63;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
1997;uitspoelingswater;zomer;melkvee;zand;157;100;Nitraat;(NO3);mg/l;62;73;124;223;250;0;14;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
1998;uitspoelingswater;zomer;melkvee;zand;135;78;Nitraat;(NO3);mg/l;67;71;121;172;204;0;16;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
1999;uitspoelingswater;zomer;melkvee;zand;60;53;Nitraat;(NO3);mg/l;13;33;52;59;111;0;17;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2000;uitspoelingswater;zomer;melkvee;zand;79;39;Nitraat;(NO3);mg/l;38;50;74;106;144;0;24;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2001;uitspoelingswater;zomer;melkvee;zand;66;47;Nitraat;(NO3);mg/l;10;27;64;89;128;0;28;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2002;uitspoelingswater;zomer;melkvee;zand;43;35;Nitraat;(NO3);mg/l;8.7;15;29;55;87;0;28;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2003;uitspoelingswater;zomer;melkvee;zand;44;36;Nitraat;(NO3);mg/l;2.2;16;39;59;96;2.7;37;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2004;uitspoelingswater;zomer;melkvee;zand;66;40;Nitraat;(NO3);mg/l;17;32;65;95;118;0;57;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2005;uitspoelingswater;zomer;melkvee;zand;56;39;Nitraat;(NO3);mg/l;9;26;55;81;104;3.2;62;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2006;uitspoelingswater;zomer;melkvee;zand;55;40;Nitraat;(NO3);mg/l;9.2;24;49;77;107;4.2;118;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2007;uitspoelingswater;zomer;melkvee;zand;60;42;Nitraat;(NO3);mg/l;14;28;51;87;114;2.8;108;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2008;uitspoelingswater;zomer;melkvee;zand;48;33;Nitraat;(NO3);mg/l;13;24;42;69;88;2;102;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2009;uitspoelingswater;zomer;melkvee;zand;44;38;Nitraat;(NO3);mg/l;5.6;15;33;63;101;2.8;107;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2010;uitspoelingswater;zomer;melkvee;zand;51;41;Nitraat;(NO3);mg/l;8.3;23;43;73;99;1.9;105;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2011;uitspoelingswater;zomer;melkvee;zand;46;36;Nitraat;(NO3);mg/l;6.2;20;36;68;95;0.97;103;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2012;uitspoelingswater;zomer;melkvee;zand;38;32;Nitraat;(NO3);mg/l;6.7;13;30;51;80;1.9;107;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2013;uitspoelingswater;zomer;melkvee;zand;41;31;Nitraat;(NO3);mg/l;3.5;18;34;56;82;1.7;115;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2014;uitspoelingswater;zomer;melkvee;zand;45;37;Nitraat;(NO3);mg/l;6.8;18;40;64;91;1.7;121;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2015;uitspoelingswater;zomer;melkvee;zand;43;35;Nitraat;(NO3);mg/l;5.2;14;39;61;83;2.3;133;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2016;uitspoelingswater;zomer;melkvee;zand;35;31;Nitraat;(NO3);mg/l;5.2;14;28;48;71;2.2;138;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2017;uitspoelingswater;zomer;melkvee;zand;31;28;Nitraat;(NO3);mg/l;4.8;11;24;42;62;1.5;135;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2018;uitspoelingswater;zomer;melkvee;zand;39;35;Nitraat;(NO3);mg/l;2.6;16;31;50;73;1.5;135;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2019;uitspoelingswater;zomer;melkvee;zand;45;35;Nitraat;(NO3);mg/l;8.4;17;40;61;86;1.4;140;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2020;uitspoelingswater;zomer;melkvee;zand;57;46;Nitraat;(NO3);mg/l;9.6;26;47;74;111;2.1;143;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2021;uitspoelingswater;zomer;melkvee;zand;62;41;Nitraat;(NO3);mg/l;12;29;58;88;123;3.4;149;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2022;uitspoelingswater;zomer;melkvee;zand;46;37;Nitraat;(NO3);mg/l;6;19;40;69;94;2;147;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2023;uitspoelingswater;zomer;melkvee;zand;44;31;Nitraat;(NO3);mg/l;4;22;38;64;87;2;149;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2024;uitspoelingswater;zomer;melkvee;zand;22;18;Nitraat;(NO3);mg/l;2.8;7.4;18;31;46;2.6;151;5;10;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2007;slootwater;winter;derogatiebedrijf;klei;12;14;Nitraat;(NO3);mg/l;1.1;2.4;6.6;16;29;5.1;59;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2008;slootwater;winter;derogatiebedrijf;klei;9;10;Nitraat;(NO3);mg/l;0.51;1.4;4.8;14;25;3.3;60;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2009;slootwater;winter;derogatiebedrijf;klei;6.9;7.6;Nitraat;(NO3);mg/l;0.52;1.6;4.6;9.3;15;3.2;63;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2010;slootwater;winter;derogatiebedrijf;klei;9.7;7.4;Nitraat;(NO3);mg/l;1.6;4.2;7.4;14;21;0;63;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2011;slootwater;winter;derogatiebedrijf;klei;6.3;6.3;Nitraat;(NO3);mg/l;0.82;2;3.9;9.2;14;0;62;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2012;slootwater;winter;derogatiebedrijf;klei;5.4;6.1;Nitraat;(NO3);mg/l;0.4;0.93;3.2;7.9;12;1.7;58;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2013;slootwater;winter;derogatiebedrijf;klei;4.6;6.6;Nitraat;(NO3);mg/l;0.31;0.98;2;5.1;10;4.5;67;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2014;slootwater;winter;derogatiebedrijf;klei;6;7.4;Nitraat;(NO3);mg/l;1.1;2;3.9;6.7;13;0;59;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2015;slootwater;winter;derogatiebedrijf;klei;10;11;Nitraat;(NO3);mg/l;1.5;3;7.5;14;23;0;59;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2016;slootwater;winter;derogatiebedrijf;klei;6.8;10;Nitraat;(NO3);mg/l;0.98;1.6;2.9;5.7;15;0;59;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2017;slootwater;winter;derogatiebedrijf;klei;9.1;12;Nitraat;(NO3);mg/l;1.5;2.1;5.3;11;22;0;59;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2018;slootwater;winter;derogatiebedrijf;klei;7.3;11;Nitraat;(NO3);mg/l;0.57;1.5;3.3;8.5;16;0;56;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2019;slootwater;winter;derogatiebedrijf;klei;21;20;Nitraat;(NO3);mg/l;3.9;8;14;26;45;0;55;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2020;slootwater;winter;derogatiebedrijf;klei;14;14;Nitraat;(NO3);mg/l;2.2;5.5;9.3;19;29;0;56;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2021;slootwater;winter;derogatiebedrijf;klei;13;11;Nitraat;(NO3);mg/l;2.2;3.6;10;18;29;0;58;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2022;slootwater;winter;derogatiebedrijf;klei;5.8;8.2;Nitraat;(NO3);mg/l;0.86;1.4;3;5.8;14;1.7;58;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2023;slootwater;winter;derogatiebedrijf;klei;7.9;9.5;Nitraat;(NO3);mg/l;1.3;1.9;4.2;9.5;19;0;55;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2024;slootwater;winter;derogatiebedrijf;klei;6.2;8.6;Nitraat;(NO3);mg/l;0.85;1.8;3.3;7.4;13;0;57;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2007;slootwater;winter;derogatiebedrijf;veen;5.9;8.4;Nitraat;(NO3);mg/l;0.73;2.2;4;6;11;6;50;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2008;slootwater;winter;derogatiebedrijf;veen;4.1;4.7;Nitraat;(NO3);mg/l;0.75;1.5;2.6;4.6;8.1;2;49;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2009;slootwater;winter;derogatiebedrijf;veen;3.5;4.6;Nitraat;(NO3);mg/l;0.74;1.2;2;3.3;8.7;0;49;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2010;slootwater;winter;derogatiebedrijf;veen;3.7;5.2;Nitraat;(NO3);mg/l;0.56;0.9;1.9;3.4;8;0;48;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2011;slootwater;winter;derogatiebedrijf;veen;3.7;6.2;Nitraat;(NO3);mg/l;0.27;0.81;1.8;4.2;7.6;2.1;48;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2012;slootwater;winter;derogatiebedrijf;veen;2.9;3.7;Nitraat;(NO3);mg/l;0.47;1;2.3;3.2;4.9;0;50;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2013;slootwater;winter;derogatiebedrijf;veen;2.5;3.3;Nitraat;(NO3);mg/l;0.42;0.86;1.8;2.9;4.5;3.6;56;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2014;slootwater;winter;derogatiebedrijf;veen;3.5;4.6;Nitraat;(NO3);mg/l;0.51;1.2;2.2;4.2;6.1;0;56;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2015;slootwater;winter;derogatiebedrijf;veen;6.5;8.8;Nitraat;(NO3);mg/l;0.71;1.7;3.2;6.3;16;0;57;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2016;slootwater;winter;derogatiebedrijf;veen;3.5;4.7;Nitraat;(NO3);mg/l;0.71;1.3;2.2;4;5.5;1.7;59;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2017;slootwater;winter;derogatiebedrijf;veen;3.6;6.3;Nitraat;(NO3);mg/l;0.41;0.96;2.1;3.2;5.6;0;57;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2018;slootwater;winter;derogatiebedrijf;veen;4.1;7.3;Nitraat;(NO3);mg/l;0.92;1.3;2.3;3.4;4.9;0;57;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2019;slootwater;winter;derogatiebedrijf;veen;11;15;Nitraat;(NO3);mg/l;1.4;3.4;6.6;12;21;0;57;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2020;slootwater;winter;derogatiebedrijf;veen;6.3;13;Nitraat;(NO3);mg/l;0.96;1.5;3.2;4.6;10;0;56;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2021;slootwater;winter;derogatiebedrijf;veen;5.9;14;Nitraat;(NO3);mg/l;0.8;1.4;2.2;4.1;8.6;1.7;58;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2022;slootwater;winter;derogatiebedrijf;veen;2.9;2.4;Nitraat;(NO3);mg/l;0.85;1.5;2.4;3.3;5.4;0;58;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2023;slootwater;winter;derogatiebedrijf;veen;3.4;4;Nitraat;(NO3);mg/l;0.81;1.5;2.4;3.7;6.4;1.7;59;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2024;slootwater;winter;derogatiebedrijf;veen;3.7;6.7;Nitraat;(NO3);mg/l;0.95;1.3;2.1;4.2;5.3;0;60;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2007;slootwater;winter;derogatiebedrijf;zand midden/zuid;41;30;Nitraat;(NO3);mg/l;8.6;21;29;59;84;0;21;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2008;slootwater;winter;derogatiebedrijf;zand midden/zuid;42;33;Nitraat;(NO3);mg/l;7.3;13;31;68;80;0;22;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2009;slootwater;winter;derogatiebedrijf;zand midden/zuid;34;25;Nitraat;(NO3);mg/l;7.4;14;23;55;64;0;22;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2010;slootwater;winter;derogatiebedrijf;zand midden/zuid;38;31;Nitraat;(NO3);mg/l;10;20;25;56;89;0;21;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2011;slootwater;winter;derogatiebedrijf;zand midden/zuid;32;28;Nitraat;(NO3);mg/l;7.3;12;20;45;66;0;21;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2012;slootwater;winter;derogatiebedrijf;zand midden/zuid;24;19;Nitraat;(NO3);mg/l;6.1;9.2;20;35;51;0;22;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2013;slootwater;winter;derogatiebedrijf;zand midden/zuid;26;20;Nitraat;(NO3);mg/l;5;9.6;17;42;51;0;23;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2014;slootwater;winter;derogatiebedrijf;zand midden/zuid;28;23;Nitraat;(NO3);mg/l;8.4;12;17;41;63;0;19;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2015;slootwater;winter;derogatiebedrijf;zand midden/zuid;26;23;Nitraat;(NO3);mg/l;6.1;10;23;32;55;0;20;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2016;slootwater;winter;derogatiebedrijf;zand midden/zuid;25;19;Nitraat;(NO3);mg/l;7.2;9.7;20;35;47;0;19;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2017;slootwater;winter;derogatiebedrijf;zand midden/zuid;28;20;Nitraat;(NO3);mg/l;9.1;14;21;39;50;0;22;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2018;slootwater;winter;derogatiebedrijf;zand midden/zuid;33;27;Nitraat;(NO3);mg/l;8.6;16;25;41;54;0;22;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2019;slootwater;winter;derogatiebedrijf;zand midden/zuid;65;58;Nitraat;(NO3);mg/l;25;30;47;65;149;0;20;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2020;slootwater;winter;derogatiebedrijf;zand midden/zuid;55;44;Nitraat;(NO3);mg/l;17;26;36;80;114;0;20;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2021;slootwater;winter;derogatiebedrijf;zand midden/zuid;49;26;Nitraat;(NO3);mg/l;13;39;45;60;84;0;21;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2022;slootwater;winter;derogatiebedrijf;zand midden/zuid;29;24;Nitraat;(NO3);mg/l;6.2;13;20;37;63;0;21;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2023;slootwater;winter;derogatiebedrijf;zand midden/zuid;38;28;Nitraat;(NO3);mg/l;7.3;15;31;61;78;0;22;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2024;slootwater;winter;derogatiebedrijf;zand midden/zuid;24;18;Nitraat;(NO3);mg/l;4.3;8.3;23;38;43;0;20;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2007;slootwater;winter;derogatiebedrijf;zand noord;22;15;Nitraat;(NO3);mg/l;5.7;11;20;31;36;0;11;5;25;;Nitraat (NO3);;0.13;1;1;1;1;17-okt-25;derogatiemeetnet
2008;slootwater;winter;derogatiebedrijf;zand noord;15;9.4;Nitraat;(NO3);mg/l;2.2;9.3;15;22;26;0;11;5;25;;Nitraat (NO3);;0.13;1;1;1;1;17-okt-25;derogatiemeetnet
2009;slootwater;winter;derogatiebedrijf;zand noord;13;14;Nitraat;(NO3);mg/l;1.3;4.2;7;15;32;0;12;5;25;;Nitraat (NO3);;0.13;1;1;1;1;17-okt-25;derogatiemeetnet
2010;slootwater;winter;derogatiebedrijf;zand noord;19;15;Nitraat;(NO3);mg/l;2.6;10;13;29;39;0;13;5;25;;Nitraat (NO3);;0.13;1;1;1;1;17-okt-25;derogatiemeetnet
2011;slootwater;winter;derogatiebedrijf;zand noord;14;9.8;Nitraat;(NO3);mg/l;2.6;4;14;22;26;0;14;5;25;;Nitraat (NO3);;0.13;1;1;1;1;17-okt-25;derogatiemeetnet
2012;slootwater;winter;derogatiebedrijf;zand noord;11;9.9;Nitraat;(NO3);mg/l;1.2;2.7;7.6;15;24;0;13;5;25;;Nitraat (NO3);;0.13;1;1;1;1;17-okt-25;derogatiemeetnet
2013;slootwater;winter;derogatiebedrijf;zand noord;9.2;8.4;Nitraat;(NO3);mg/l;1.1;3.3;6.8;13;19;0;12;5;25;;Nitraat (NO3);;0.13;1;1;1;1;17-okt-25;derogatiemeetnet
2014;slootwater;winter;derogatiebedrijf;zand noord;20;18;Nitraat;(NO3);mg/l;2.5;5;18;27;29;0;11;5;25;;Nitraat (NO3);;0.13;1;1;1;1;17-okt-25;derogatiemeetnet
2015;slootwater;winter;derogatiebedrijf;zand noord;24;14;Nitraat;(NO3);mg/l;7.8;9.9;28;36;40;0;10;5;25;;Nitraat (NO3);;0.13;1;1;1;1;17-okt-25;derogatiemeetnet
2016;slootwater;winter;derogatiebedrijf;zand noord;13;12;Nitraat;(NO3);mg/l;1;3.3;12;18;23;0;10;5;25;;Nitraat (NO3);;0.13;1;1;1;1;17-okt-25;derogatiemeetnet
2017;slootwater;winter;derogatiebedrijf;zand noord;18;16;Nitraat;(NO3);mg/l;1.9;5;18;27;29;0;12;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2018;slootwater;winter;derogatiebedrijf;zand noord;12;13;Nitraat;(NO3);mg/l;1.5;2.5;6.9;18;23;0;12;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2019;slootwater;winter;derogatiebedrijf;zand noord;32;26;Nitraat;(NO3);mg/l;4.2;13;34;42;53;0;11;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2020;slootwater;winter;derogatiebedrijf;zand noord;17;14;Nitraat;(NO3);mg/l;4.5;5.1;16;22;31;0;12;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2021;slootwater;winter;derogatiebedrijf;zand noord;16;14;Nitraat;(NO3);mg/l;3;6.3;14;21;31;0;13;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2022;slootwater;winter;derogatiebedrijf;zand noord;10;12;Nitraat;(NO3);mg/l;1.8;3.8;6.5;8.9;18;0;13;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2023;slootwater;winter;derogatiebedrijf;zand noord;9.8;7.8;Nitraat;(NO3);mg/l;1.7;4.9;8.6;10;21;0;13;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2024;slootwater;winter;derogatiebedrijf;zand noord;7.8;5.3;Nitraat;(NO3);mg/l;2.4;4.7;5.5;12;15;0;14;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2007;uitspoelingswater;winter;derogatiebedrijf;klei;25;30;Nitraat;(NO3);mg/l;0.55;4.3;17;35;58;3.3;60;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2008;uitspoelingswater;winter;derogatiebedrijf;klei;17;21;Nitraat;(NO3);mg/l;0.72;1.9;9.7;22;45;4.7;64;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2009;uitspoelingswater;winter;derogatiebedrijf;klei;15;19;Nitraat;(NO3);mg/l;0.68;2.7;7.7;20;34;3.1;64;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2010;uitspoelingswater;winter;derogatiebedrijf;klei;20;18;Nitraat;(NO3);mg/l;3.1;5.8;15;23;45;1.6;64;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2011;uitspoelingswater;winter;derogatiebedrijf;klei;14;16;Nitraat;(NO3);mg/l;1.8;3.7;9.1;18;33;3.2;63;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2012;uitspoelingswater;winter;derogatiebedrijf;klei;11;13;Nitraat;(NO3);mg/l;0.15;1.3;5.8;17;29;10;59;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2013;uitspoelingswater;winter;derogatiebedrijf;klei;11;15;Nitraat;(NO3);mg/l;0.42;1.5;4.4;13;30;5.9;68;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2014;uitspoelingswater;winter;derogatiebedrijf;klei;15;17;Nitraat;(NO3);mg/l;1.5;3.6;9.8;17;33;1.7;60;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2015;uitspoelingswater;winter;derogatiebedrijf;klei;22;20;Nitraat;(NO3);mg/l;2.8;6.8;17;29;53;0;60;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2016;uitspoelingswater;winter;derogatiebedrijf;klei;13;15;Nitraat;(NO3);mg/l;0.4;2;7.7;19;35;3.3;60;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2017;uitspoelingswater;winter;derogatiebedrijf;klei;16;17;Nitraat;(NO3);mg/l;1.9;5.2;11;20;37;0;60;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2018;uitspoelingswater;winter;derogatiebedrijf;klei;14;17;Nitraat;(NO3);mg/l;0.46;1.6;7.5;20;39;3.5;57;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2019;uitspoelingswater;winter;derogatiebedrijf;klei;42;26;Nitraat;(NO3);mg/l;13;20;40;58;77;0;56;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
2020;uitspoelingswater;winter;derogatiebedrijf;klei;37;36;Nitraat;(NO3);mg/l;6.2;12;27;51;84;1.8;57;5;25;;Nitraat (NO3);;0.13;2;1;1;1;17-okt-25;derogatiemeetnet
